4,6,9
4,10,15
4,14,21
4,18,27
6,8,9
6,10,15
6,14,21
6,15,20
6,21,28
6,22,33
6,26,39
8,9,12
8,10,15
8,14,21
8,15,20
8,18,27
8,21,28
8,22,33
8,26,39
8,27,36
8,30,45
8,33,44
8,34,51
8,39,52
9,10,15
9,12,16
9,14,21
9,15,20
9,16,24
9,20,30
9,21,28
9,22,33
9,24,32
9,26,39
9,28,42
9,30,40
9,32,48
9,33,44
9,34,51
9,38,57
9,39,52
9,40,60
9,42,56
10,12,15
12,14,21
12,15,20
12,21,28
12,22,33
12,26,39
12,33,44
12,34,51
12,38,57
12,39,52
12,46,69
12,50,75
12,51,68
12,57,76
15,16,20
16,21,28
16,27,36
16,33,44
16,39,52
16,45,60
16,51,68
16,57,76
16,63,84
16,69,92
16,75,100
16,81,108
