2,3,5
2,3,7
2,3,11
2,3,13
2,5,7
2,5,9
2,5,11
2,5,13
2,7,9
2,7,11
2,7,13
2,9,11
2,9,13
2,11,13
3,4,5
3,4,7
3,4,10
3,4,11
3,4,13
3,4,14
3,4,17
3,4,19
3,5,7
3,5,8
3,5,11
3,5,13
3,5,14
3,5,16
3,5,17
3,5,19
3,7,8
3,7,10
3,7,11
3,7,13
3,7,16
3,7,17
3,7,19
3,7,20
3,8,10
3,8,11
3,8,13
3,8,14
3,8,17
3,8,19
3,8,20
3,10,11
3,10,13
3,10,14
3,10,16
3,10,17
3,10,19
3,11,13
3,11,14
3,11,16
3,11,17
3,11,19
3,11,20
3,13,14
3,13,16
3,13,17
3,13,19
3,13,20
3,14,16
3,14,17
3,14,19
3,14,20
3,16,17
3,16,19
3,16,20
3,17,19
3,17,20
3,19,20
4,5,6
4,5,7
4,5,9
4,5,11
4,5,13
4,5,14
4,5,17
4,5,18
4,5,19
4,5,21
4,5,22
4,5,23
4,5,26
4,5,27
4,6,7
4,6,9
4,6,11
4,6,13
4,6,15
4,6,17
4,6,19
4,6,21
4,6,23
4,6,25
4,6,27
4,7,9
4,7,10
4,7,11
4,7,13
4,7,15
4,7,17
4,7,18
4,7,19
4,7,22
4,7,23
4,7,25
4,7,26
4,7,27
4,9,10
4,9,11
4,9,13
4,9,14
4,9,15
4,9,17
4,9,19
4,9,21
4,9,22
4,9,23
4,9,25
4,9,26
4,10,11
4,10,13
4,10,15
4,10,17
4,10,19
4,10,21
4,10,23
4,10,25
4,10,27
4,11,13
4,11,14
4,11,15
4,11,17
4,11,18
4,11,19
4,11,21
4,11,23
4,11,25
4,11,26
4,11,27
4,13,14
4,13,15
4,13,17
4,13,18
4,13,19
4,13,21
4,13,22
4,13,23
4,13,25
4,13,27
4,14,15
4,14,17
4,14,19
4,14,21
4,14,23
4,14,25
4,14,27
4,15,17
4,15,18
4,15,19
4,15,21
4,15,22
4,15,23
4,15,25
4,15,26
4,15,27
4,17,18
4,17,19
4,17,21
4,17,22
4,17,23
4,17,25
4,17,26
4,17,27
4,18,19
4,18,21
4,18,23
4,18,25
4,18,27
4,19,21
4,19,22
4,19,23
4,19,25
4,19,26
4,19,27
4,21,22
4,21,23
4,21,25
4,21,26
4,21,27
4,22,23
4,22,25
4,22,27
4,23,25
4,23,26
4,23,27
4,25,26
4,25,27
4,26,27
6,8,9
6,8,15
6,8,21
6,8,27
