2,3,5,7
2,3,5,11
2,3,5,13
2,3,7,11
2,3,7,13
2,3,11,13
3,4,5,7
3,4,5,11
3,4,5,13
3,4,5,14
3,4,5,17
3,4,5,19
4,5,6,7
4,5,6,9
4,5,6,11
4,6,7,9
4,6,7,10
4,6,7,11
4,6,9,10
4,6,9,11
4,6,9,13
4,6,9,14
4,6,9,15
4,6,9,17
4,6,9,22
4,6,9,26
4,6,10,11
4,6,10,13
4,6,10,15
4,6,10,17
4,6,10,19
4,6,10,21
4,6,10,23
4,6,10,25
4,6,10,27
4,6,14,15
4,6,14,21
4,6,14,27
6,8,9,10
6,8,9,14
6,8,9,15
6,8,9,20
6,8,9,22
6,8,9,26
6,8,9,28
6,8,9,34
6,8,10,15
6,8,10,21
6,8,10,27
6,8,10,33
6,8,10,39
6,8,14,15
6,8,14,21
6,8,14,27
6,8,15,20
6,8,15,28
6,9,10,14
6,9,10,15
6,9,10,16
6,9,10,22
6,9,10,25
6,9,10,26
6,9,10,28
6,9,10,32
6,9,10,34
6,9,10,35
6,9,14,15
6,9,14,16
6,9,14,20
6,9,14,21
6,9,14,22
6,9,14,26
6,9,14,32
6,9,14,34
6,9,14,35
6,9,15,16
6,9,15,20
6,9,15,22
6,9,15,25
6,9,15,26
6,9,15,28
6,9,15,32
6,9,15,34
6,9,15,35
6,9,15,38
6,9,15,40
6,9,16,20
6,9,16,22
6,9,16,26
6,9,16,28
6,9,16,34
6,9,16,40
6,9,20,22
6,9,20,26
6,9,20,28
6,9,21,28
6,9,21,35
6,9,22,26
6,9,22,33
6,10,14,15
6,10,15,16
6,10,15,21
6,10,15,27
8,9,12,15
8,10,12,15
8,10,12,25
8,10,12,35
8,10,12,45
8,10,12,55
8,12,14,21
8,12,14,35
8,12,15,18
8,12,15,20
8,12,20,45
8,12,21,28
9,10,12,15
9,12,15,16
9,12,15,20
10,12,15,16
10,12,15,18
10,12,15,21
10,12,15,27
10,12,15,28
10,12,15,32
10,12,15,42
10,12,15,54
10,14,15,21
10,15,16,24
10,15,18,24
10,15,21,35
10,15,35,42
12,14,16,21
12,14,18,21
12,15,16,20
12,15,18,20
12,15,18,40
12,15,18,50
12,15,20,21
12,15,20,27
12,15,20,28
12,15,20,32
12,15,20,42
12,15,20,54
12,16,20,45
12,16,21,28
12,18,20,45
12,18,20,75
12,18,21,28
12,18,21,56
12,18,21,70
12,18,22,33
12,18,28,63
12,18,33,44
12,18,40,45
14,16,21,24
14,18,21,24
14,20,21,30
15,18,20,24
18,20,30,45
18,24,40,45
20,30,35,42
20,30,35,84
20,30,36,45
20,30,45,72
24,36,40,45
24,36,56,63
30,36,40,45
30,40,45,72
30,40,45,144
30,45,70,126
30,45,72,80
30,45,80,144
36,40,45,60
40,45,60,72
